ID,X,Y,N,A,Ap,Ar,He,Ho,FIS,NS_ex0pct,NS_ex2pct,NS_ex5pct,NS_ex10pct
Indiv_162,7060.869565,7060.869565,71,4.5,0.957446809,4.207206155,0.62205,0.61975,0.0082,75.6,66.2,86.5,68.8
Indiv_163,7060.869565,6017.391304,58,4.4,0.936170213,4.129610587,0.6191,0.61475,0.00695,72.2,81,125.3,77.5
Indiv_164,7060.869565,4973.913043,44,4.3,0.914893617,4.123864767,0.6181,0.60905,0.01365,50.2,55,63.3,49.3
Indiv_165,7060.869565,3930.434783,41,4.3,0.914893617,4.122822127,0.61105,0.59515,0.0267,40.9,36.3,31.3,42.3
Indiv_166,7060.869565,2886.956522,40,4.3,0.914893617,4.128794664,0.61075,0.60375,0.0096,31.6,28.2,25.7,31
Indiv_167,7060.869565,1843.478261,24,3.95,0.840425532,3.917042186,0.6006,0.6021,-0.01245,61.1,62.2,46.7,61.1
Indiv_168,7060.869565,800,12,,,,,,,,,,
Indiv_169,8104.347826,24800,84,4.65,0.989361702,4.335655013,0.61605,0.6196,-0.01255,81.5,86.6,103.3,78.5
Indiv_170,8104.347826,23756.52174,82,4.65,0.989361702,4.338676928,0.61435,0.6164,-0.01095,71,66.7,70.7,64.4
Indiv_171,8104.347826,22713.04348,116,4.65,0.989361702,4.310869588,0.6196,0.6233,-0.0104,89.2,84.7,86,83.3
Indiv_172,8104.347826,21669.56522,119,4.65,0.989361702,4.31386651,0.6197,0.6227,-0.0077,91.4,85.3,95.2,81.4
Indiv_173,8104.347826,20626.08696,113,4.65,0.989361702,4.321501752,0.62065,0.62165,-0.00495,80.2,75.1,73.4,72.3
Indiv_174,8104.347826,19582.6087,108,4.6,0.978723404,4.30797387,0.62175,0.62125,-0.0032,79.5,74.3,77.3,72.5
Indiv_175,8104.347826,18539.13043,109,4.6,0.978723404,4.295682046,0.62085,0.62195,-0.00585,102.8,86.7,89.3,91.1
Indiv_176,8104.347826,17495.65217,148,4.6,0.978723404,4.285868912,0.61945,0.62605,-0.01565,110.7,99,95.4,99.8
Indiv_177,8104.347826,16452.17391,134,4.6,0.978723404,4.278597517,0.6211,0.62015,-0.00215,120.4,108.6,102.7,111
Indiv_178,8104.347826,15408.69565,133,4.6,0.978723404,4.283219827,0.6233,0.62475,-0.0064,133,116.4,117.1,124.2
Indiv_179,8104.347826,14365.21739,121,4.6,0.978723404,4.254533944,0.6244,0.62855,-0.0067,144.3,120.7,116.3,131.8
Indiv_180,8104.347826,13321.73913,115,4.65,0.989361702,4.25757574,0.62405,0.62075,0.00375,131.8,114.4,117.7,112.6
Indiv_181,8104.347826,12278.26087,115,4.7,1,4.308807108,0.6291,0.6314,-0.00345,103.1,107.5,116,104.2
Indiv_182,8104.347826,11234.78261,110,4.7,1,4.310686011,0.6284,0.629,5.00E-04,107,112.7,119.8,108.4
Indiv_183,8104.347826,10191.30435,122,4.7,1,4.301268212,0.6278,0.62835,0.00105,112,116.4,136.2,112.3
Indiv_184,8104.347826,9147.826087,77,4.6,0.978723404,4.239014741,0.62135,0.6206,0.0076,112.7,123.2,134.5,110.5
Indiv_185,8104.347826,8104.347826,98,4.6,0.978723404,4.260469455,0.62455,0.6214,0.0084,97.5,113.2,128.5,91.8
Indiv_186,8104.347826,7060.869565,97,4.6,0.978723404,4.222597364,0.6235,0.62165,0.00625,110.1,121.5,138.8,102.2
Indiv_187,8104.347826,6017.391304,81,4.55,0.968085106,4.202572519,0.6236,0.6277,-0.00855,110.5,110.8,123.8,99.5
Indiv_188,8104.347826,4973.913043,57,4.45,0.946808511,4.183667244,0.62335,0.62105,0.0021,84.2,86.6,148.4,87.4
Indiv_189,8104.347826,3930.434783,50,4.35,0.925531915,4.137792194,0.6174,0.601,0.0222,37.7,34.4,32.7,35
Indiv_190,8104.347826,2886.956522,41,4.3,0.914893617,4.127738071,0.61465,0.59755,0.0241,31.7,26.8,25.1,30.6
Indiv_191,8104.347826,1843.478261,31,4.2,0.893617021,4.105671607,0.60945,0.59845,0.02265,44.5,47.1,40.4,45.1
Indiv_192,8104.347826,800,18,,,,,,,,,,
Indiv_193,9147.826087,24800,94,4.65,0.989361702,4.338888491,0.6184,0.62235,-0.0116,91.4,91.4,112,87.1
Indiv_194,9147.826087,23756.52174,96,4.65,0.989361702,4.318771466,0.61995,0.62085,-0.0068,89.8,87,107.4,84.9
Indiv_195,9147.826087,22713.04348,119,4.65,0.989361702,4.314509116,0.6207,0.62345,-0.0091,91.7,86.5,91.9,85.5
Indiv_196,9147.826087,21669.56522,129,4.65,0.989361702,4.31760582,0.6217,0.6232,-0.0065,94.6,90.6,90.9,82.1
Indiv_197,9147.826087,20626.08696,128,4.65,0.989361702,4.31667393,0.6189,0.61675,-0.00075,90.9,84.5,90.9,81.1
Indiv_198,9147.826087,19582.6087,132,4.65,0.989361702,4.320801669,0.62125,0.62455,-0.0102,96.6,88.6,102.6,86.3
Indiv_199,9147.826087,18539.13043,146,4.6,0.978723404,4.292187172,0.6205,0.6301,-0.02005,116.3,106.5,108.1,106.4
Indiv_200,9147.826087,17495.65217,166,4.6,0.978723404,4.292664319,0.6191,0.61925,-0.00425,122.8,109.2,111,118.7
Indiv_201,9147.826087,16452.17391,166,4.6,0.978723404,4.286294329,0.6199,0.62045,-0.00505,122.7,108.2,108.5,117.1
Indiv_202,9147.826087,15408.69565,148,4.6,0.978723404,4.270952339,0.6207,0.623,-0.00785,124.9,108.7,107,111.3
Indiv_203,9147.826087,14365.21739,136,4.6,0.978723404,4.269864697,0.62365,0.6264,-0.00765,134.1,118.4,114.7,121.7
Indiv_204,9147.826087,13321.73913,122,4.6,0.978723404,4.260326834,0.6243,0.62505,-0.00175,153.3,130.9,120.9,148.1
Indiv_205,9147.826087,12278.26087,113,4.65,0.989361702,4.266592534,0.62665,0.62875,-0.0021,114.6,108.9,102.2,112.5
Indiv_206,9147.826087,11234.78261,118,4.65,0.989361702,4.277949829,0.6254,0.6241,0.0041,126.5,130.7,124.3,125.3
Indiv_207,9147.826087,10191.30435,129,4.7,1,4.300333267,0.6275,0.62835,-0.00015,122.2,137.8,165.7,127.5
Indiv_208,9147.826087,9147.826087,129,4.65,0.989361702,4.280612528,0.62605,0.62275,0.00725,118.7,122.8,120.6,110.6
Indiv_209,9147.826087,8104.347826,108,4.65,0.989361702,4.22974217,0.6225,0.6235,0.00475,109.2,118.2,125.7,99.8
Indiv_210,9147.826087,7060.869565,95,4.6,0.978723404,4.231085002,0.62345,0.6263,-8.00E-04,111.9,115.8,121.4,99.4
Indiv_211,9147.826087,6017.391304,75,4.55,0.968085106,4.214243398,0.62385,0.62865,-0.0096,99.7,89.7,113.8,84.9
Indiv_212,9147.826087,4973.913043,56,4.5,0.957446809,4.193667065,0.6246,0.61885,0.00425,55.2,45.5,49,48.8
Indiv_213,9147.826087,3930.434783,51,4.4,0.936170213,4.146743199,0.61835,0.59605,0.0302,44.9,42.2,44.9,41.5
Indiv_214,9147.826087,2886.956522,47,4.35,0.925531915,4.129505364,0.61285,0.58925,0.0347,39,35.9,32.7,37.3
Indiv_215,9147.826087,1843.478261,38,4.3,0.914893617,4.137699212,0.61215,0.59215,0.03125,33.9,31.6,27.3,33
Indiv_216,9147.826087,800,21,4.05,0.861702128,4.040127758,0.61145,0.61185,-0.00345,36.4,30.6,28.8,36.4
Indiv_217,10191.30435,24800,99,4.65,0.989361702,4.317862555,0.61745,0.6213,-0.01165,94,94.6,115,91.4
Indiv_218,10191.30435,23756.52174,101,4.65,0.989361702,4.309090685,0.61935,0.6222,-0.0108,98.2,96,113.5,89.7
Indiv_219,10191.30435,22713.04348,118,4.65,0.989361702,4.310505199,0.6185,0.62325,-0.012,92,89.4,90.7,88.3
Indiv_220,10191.30435,21669.56522,114,4.65,0.989361702,4.311237427,0.61785,0.62155,-0.0106,95.7,91.7,94.1,89.3
Indiv_221,10191.30435,20626.08696,121,4.65,0.989361702,4.321040485,0.62235,0.62525,-0.0089,96.9,87.2,100.4,85.5
Indiv_222,10191.30435,19582.6087,143,4.6,0.978723404,4.306592372,0.62095,0.62465,-0.01175,99.6,92.5,100.8,92.8
Indiv_223,10191.30435,18539.13043,147,4.6,0.978723404,4.29535274,0.61995,0.62865,-0.0186,115.5,107,109.7,106.7
Indiv_224,10191.30435,17495.65217,169,4.6,0.978723404,4.28864818,0.61895,0.61705,-0.0009,133.8,120.3,122.3,125.6
Indiv_225,10191.30435,16452.17391,173,4.6,0.978723404,4.282445118,0.6174,0.6159,-0.0013,135.6,121.1,121.8,126.9
Indiv_226,10191.30435,15408.69565,151,4.6,0.978723404,4.273038805,0.62185,0.6241,-0.0078,133.8,117.1,114.6,125.8
Indiv_227,10191.30435,14365.21739,151,4.6,0.978723404,4.257465056,0.6217,0.6238,-0.00735,141.7,130.7,123.3,132.7
Indiv_228,10191.30435,13321.73913,150,4.65,0.989361702,4.26909279,0.62215,0.62585,-0.01095,157.6,150.5,145.5,147.7
Indiv_229,10191.30435,12278.26087,131,4.65,0.989361702,4.262509153,0.6238,0.62295,-6.00E-04,160.9,143.5,143.6,161.2
Indiv_230,10191.30435,11234.78261,127,4.65,0.989361702,4.258474104,0.6257,0.62365,0.00395,120.8,119.2,108.2,121.9
Indiv_231,10191.30435,10191.30435,127,4.65,0.989361702,4.253275724,0.62465,0.6264,0.00045,141.2,133.1,129.8,149.1
Indiv_232,10191.30435,9147.826087,141,4.65,0.989361702,4.245898885,0.62445,0.62475,0.00065,133.3,145.5,144.2,133.6
Indiv_233,10191.30435,8104.347826,129,4.65,0.989361702,4.246633426,0.62315,0.62245,0.0033,121.2,126.4,124.2,112.5
Indiv_234,10191.30435,7060.869565,115,4.65,0.989361702,4.219624215,0.6235,0.6261,-0.0016,129.8,147.2,154.9,117.6
Indiv_235,10191.30435,6017.391304,91,4.55,0.968085106,4.216291222,0.62495,0.6339,-0.01395,107.9,111.6,115.6,97
Indiv_236,10191.30435,4973.913043,62,4.45,0.946808511,4.211988458,0.62695,0.6388,-0.02295,85.7,86.5,82.1,77.4
Indiv_237,10191.30435,3930.434783,42,4.35,0.925531915,4.153830459,0.6199,0.59765,0.03065,38.5,34.5,32.8,35.9
Indiv_238,10191.30435,2886.956522,39,4.3,0.914893617,4.143839193,0.61995,0.6052,0.02155,33.1,30.2,26.9,32
Indiv_239,10191.30435,1843.478261,36,4.3,0.914893617,4.160207927,0.6156,0.59575,0.0311,36.8,33.6,27.6,35.5
Indiv_240,10191.30435,800,20,4.05,0.861702128,4.05,0.615,0.6125,8.00E-04,32.8,26.5,24.7,32.8
Indiv_241,11234.78261,24800,96,4.65,0.989361702,4.313702189,0.61445,0.6177,-0.01305,91.9,98.8,130.1,90
Indiv_242,11234.78261,23756.52174,108,4.65,0.989361702,4.312311672,0.61725,0.6172,-0.0057,97.5,101.6,120.2,92.5
Indiv_243,11234.78261,22713.04348,112,4.65,0.989361702,4.308074025,0.6189,0.6219,-0.01065,101.9,103.2,117.3,96.8
Indiv_244,11234.78261,21669.56522,116,4.65,0.989361702,4.311704897,0.6191,0.6253,-0.01525,98.5,100.3,109.1,94.7
