"NH_Index","NH_ID","X","Y","N","A","Ap","Ar","Hs","Ho","FIS","HWE_p","HetEx_p","HomEx_p","NS_ex0.10","NS_ex0.05","NS_ex0.02","NS_ex0.00"
185,"Indiv185",8104.347826,8104.347826,93,4.6,0.9787,4.2596,0.625,0.6247,0.0051,0.3646,0.2558,0.304,134.3,126.5,96.9,105.2
186,"Indiv186",8104.347826,7060.869565,94,4.6,0.9787,4.2173,0.6239,0.6229,0.0039,0.3968,0.2655,0.2055,146.3,119.6,101,113
187,"Indiv187",8104.347826,6017.391304,81,4.55,0.9681,4.2026,0.6236,0.6278,-0.0086,0.3732,0.2578,0.2931,123.8,110.8,99.5,110.5
188,"Indiv188",8104.347826,4973.913043,57,4.45,0.9468,4.1837,0.6234,0.6211,0.0022,0.4291,0.2214,0.2956,148.4,86.6,87.4,84.2
189,"Indiv189",8104.347826,3930.434783,49,4.35,0.9255,4.1395,0.6168,0.599,0.0247,0.3454,0.1937,0.325,31.3,34.2,34.2,36.9
190,"Indiv190",8104.347826,2886.956522,40,4.3,0.9149,4.1299,0.6128,0.5938,0.0274,0.4113,0.1842,0.2647,25.7,29.4,31.8,32.9
191,"Indiv191",8104.347826,1843.478261,30,4.2,0.8936,4.1137,0.6116,0.6083,0.0106,0.4912,0.1973,0.3399,35.2,39.3,40.1,39.7
192,"Indiv192",8104.347826,800,18,,,,,,,,,,,,,
193,"Indiv193",9147.826087,24800,90,4.65,0.9894,4.3326,0.6173,0.6194,-0.0107,0.5083,0.2713,0.2561,104.1,85.3,82.2,84.6
194,"Indiv194",9147.826087,23756.52174,95,4.65,0.9894,4.3221,0.6198,0.6205,-0.0066,0.4628,0.2166,0.3058,107.6,86.2,84,89
195,"Indiv195",9147.826087,22713.04348,114,4.65,0.9894,4.313,0.6205,0.625,-0.0116,0.3963,0.1824,0.2994,91.5,87.7,86.3,92.8
196,"Indiv196",9147.826087,21669.56522,124,4.65,0.9894,4.3197,0.6219,0.6238,-0.0067,0.3989,0.1855,0.2618,87.2,88.1,85.3,93.6
197,"Indiv197",9147.826087,20626.08696,127,4.65,0.9894,4.3188,0.6192,0.6173,-8e-04,0.418,0.2416,0.2226,89.8,83.8,80.4,90.2
198,"Indiv198",9147.826087,19582.6087,129,4.65,0.9894,4.3227,0.6213,0.6232,-0.0082,0.436,0.183,0.2572,98,86,84.1,94.2
199,"Indiv199",9147.826087,18539.13043,144,4.6,0.9787,4.2919,0.6207,0.6305,-0.0205,0.3878,0.1748,0.1933,108.9,105.1,104.5,115.7
200,"Indiv200",9147.826087,17495.65217,163,4.6,0.9787,4.2915,0.6185,0.619,-0.0047,0.3882,0.1561,0.2352,112.9,107.7,114.8,119.6
201,"Indiv201",9147.826087,16452.17391,163,4.6,0.9787,4.2832,0.6197,0.6209,-0.006,0.3832,0.1602,0.2196,108.7,108.7,117.7,124
202,"Indiv202",9147.826087,15408.69565,144,4.6,0.9787,4.2703,0.6208,0.6222,-0.0064,0.4213,0.1432,0.2174,108.8,109.8,111.9,124.4
203,"Indiv203",9147.826087,14365.21739,134,4.6,0.9787,4.2653,0.6231,0.6258,-0.0072,0.4167,0.1315,0.2333,115.4,120.7,126.4,138.4
